"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_DG","mu_r","sig_r","predY","W_DL_PL","W_DG_PG","sig2_DL","sig2_DG","log_lik","W_P_G","W_L","W_Ds","W_P_S","W_P_L","part"
"1070",114,475,8,0.565685424949238,0.813977495731251,"Exp1","mixed","DIM",0.327678262964486,0.742903533933697,0.0677135763085406,0.742736638235057,0.751005790890168,0.530635042805201,0.00410510480610484,0.00773830182029512,1.27448567600004,0.173877569094494,0.504917517855007,0.321204913050498,0.504917517855007,0.504917517855007,"all"
"1071",115,476,8,0.475682846001088,0.853915108275942,"Exp1","mixed","DIM",0.347929220314365,0.68680048067722,0.0650837411232176,0.686638738375174,0.680791181672698,0.444453612634686,0.00372130173393976,0.00647649944453208,1.31575457468143,0.154638398909889,0.443924036636421,0.40143756445369,0.443924036636421,0.443924036636421,"all"
"1072",116,477,8,0.8,0.757927374284009,"Exp1","mixed","DIM",0.29476116891117,0.819364142880766,0.0717819635294296,0.819588714613984,0.857799322877596,0.693040369509122,0.00468885348919138,0.0101215322148511,1.21840780034262,0.204281389419138,0.604953391774986,0.190765218805876,0.604953391774986,0.604953391774986,"all"
"1073",117,478,8,0.565685424949238,0.725911040340179,"Exp1","mixed","DIM",0.327678262964486,0.742903533933697,0.0677135763085406,0.743110214063271,0.751005790890168,0.530635042805201,0.00410510480610484,0.00773830182029512,1.27800829092718,0.173877569094494,0.504917517855007,0.321204913050498,0.504917517855007,0.504917517855007,"all"
"1074",118,480,8,2.4,1.72591166234861,"Exp1","mixed","DIM",0.929543459116367,1.45804712068801,0.121946278689985,1.45849059532671,0.581186581358181,0.952988340089863,0.124287684078019,0.013951249111938,0.682334362690017,0.885844078144696,0.0409483961304813,0.0732075257248223,0.0409483961304813,0.0409483961304813,"all"
"1075",119,481,8,2.4,1.34196290341151,"Exp1","mixed","DIM",0.929543459116367,1.45804712068801,0.121946278689985,1.45768915747547,0.581186581358181,0.952988340089863,0.124287684078019,0.013951249111938,0.690537198459224,0.885844078144696,0.0409483961304813,0.0732075257248223,0.0409483961304813,0.0409483961304813,"all"
"1076",120,482,8,1.42704853800327,1.54191314272884,"Exp1","mixed","DIM",0.878046243157995,1.39319984508767,0.1151955053751,1.39387537944134,0.329140625504899,0.877630917869983,0.0703872515163649,0.0128390892177585,0.735236667467988,0.770600530315041,0.0401399358096499,0.189259533875309,0.0401399358096499,0.0401399358096499,"all"
"1077",121,483,8,1.2,1.48592460012605,"Exp1","mixed","DIM",0.85053311968707,1.33926011579531,0.111427033143034,1.33948157992842,0.257567901402208,0.835346112194191,0.0550813094880919,0.0122157322801349,0.780149036003735,0.71048953482299,0.0384978706913364,0.251012594485673,0.0384978706913364,0.0384978706913364,"all"
"1078",122,484,8,0.4,0.621988965568562,"Exp1","mixed","DIM",0.369628676230292,0.620469019081162,0.0621417747384438,0.621221148187029,0.601288449067682,0.361481655661983,0.00328672845411395,0.00526354555292465,1.36393951820922,0.133613985863873,0.379034995606229,0.487351018529897,0.379034995606229,0.379034995606229,"all"
"1079",123,485,8,2.4,1.66192346807111,"Exp1","mixed","DIM",0.929543459116367,1.45804712068801,0.121946278689985,1.45870757209778,0.581186581358181,0.952988340089863,0.124287684078019,0.013951249111938,0.681362578791986,0.885844078144696,0.0409483961304813,0.0732075257248223,0.0409483961304813,0.0409483961304813,"all"
