"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"16632",7,1.86,"Exp1","mixed","IP",1.89885711694978,0.201925177934687,0.187280616161889,0,0.162092975889657,0.837907024110343,"all"
"16633",7,1.87,"Exp1","mixed","IP",1.90756531302058,0.202774448612632,0.181257482109115,0,0.163517737297168,0.836482262702832,"all"
"16634",7,1.88,"Exp1","mixed","IP",1.91624550717603,0.203621834704331,0.173648715253757,0,0.164944601346958,0.835055398653042,"all"
"16635",7,1.89,"Exp1","mixed","IP",1.92489762509744,0.204467329976189,0.169504217606474,0,0.166373514609404,0.833626485390596,"all"
"16636",7,1.9,"Exp1","mixed","IP",1.93352159466563,0.205310928385343,0.167852723856545,0,0.167804423989946,0.832195576010054,"all"
"16637",7,1.91,"Exp1","mixed","IP",1.94211734594459,0.206152624076482,0.159425335577806,0,0.169237276730849,0.830762723269151,"all"
"16638",7,1.92,"Exp1","mixed","IP",1.95068481116498,0.206992411378735,0.160463748267073,0,0.170672020412884,0.829327979587116,"all"
"16639",7,1.93,"Exp1","mixed","IP",1.95922392470752,0.207830284802618,0.150303898129609,0,0.172108602956932,0.827891397043068,"all"
"16640",7,1.94,"Exp1","mixed","IP",1.96773462308627,0.208666239037045,0.151721248398023,0,0.173546972625507,0.826453027374493,"all"
"16641",7,1.95,"Exp1","mixed","IP",1.97621684493184,0.209500268946403,0.141945444064773,0,0.174987078024215,0.825012921975785,"all"
"16642",7,1.96,"Exp1","mixed","IP",1.98467053097446,0.21033236956768,0.144949281360213,0,0.176428868103119,0.823571131896881,"all"
"16643",7,1.97,"Exp1","mixed","IP",1.99309562402697,0.21116253610765,0.139792942747423,0,0.177872292158049,0.822127707841951,"all"
"16644",7,1.98,"Exp1","mixed","IP",2.00149206896774,0.211990763940115,0.127618155988058,0,0.179317299831823,0.820682700168177,"all"
"16645",7,1.99,"Exp1","mixed","IP",2.00985981272353,0.212817048603199,0.128218651346361,0,0.180763841115408,0.819236158884592,"all"
"16646",7,2,"Exp1","mixed","IP",2.01819880425218,0.213641385796696,0.123930361683109,0,0.182211866349002,0.817788133650998,"all"
"16647",7,2.01,"Exp1","mixed","IP",2.02650899452534,0.214463771379465,0.118840923926684,0,0.183661326223049,0.816338673776951,"all"
"16648",7,2.02,"Exp1","mixed","IP",2.03479033651109,0.215284201366872,0.116174431121772,0,0.185112171779181,0.814887828220819,"all"
"16649",7,2.03,"Exp1","mixed","IP",2.04304278515644,0.216102671928291,0.110485167761489,0,0.186564354411099,0.813435645588901,"all"
"16650",7,2.04,"Exp1","mixed","IP",2.05126629736991,0.216919179384634,0.106322969842781,0,0.18801782586538,0.81198217413462,"all"
"16651",7,2.05,"Exp1","mixed","IP",2.0594608320039,0.21773372020594,0.109093436914456,0,0.18947253824222,0.81052746175778,"all"
"16652",7,2.06,"Exp1","mixed","IP",2.06762634983714,0.218546291009001,0.103071031106249,0,0.19092844399611,0.80907155600389,"all"
"16653",7,2.07,"Exp1","mixed","IP",2.07576281355705,0.219356888555033,0.1018155267229,0,0.19238549593645,0.80761450406355,"all"
"16654",7,2.08,"Exp1","mixed","IP",2.08387018774201,0.220165509747386,0.0931826314041313,0,0.1938436472281,0.8061563527719,"all"
"16655",7,2.09,"Exp1","mixed","IP",2.09194843884372,0.220972151629298,0.0933236232762149,0,0.195302851391867,0.804697148608133,"all"
"16656",7,2.1,"Exp1","mixed","IP",2.09999753516938,0.221776811381683,0.0876191903090979,0,0.196763062304927,0.803236937695073,"all"
"16657",7,2.11,"Exp1","mixed","IP",2.108017446864,0.222579486320962,0.0776033785691514,0,0.198224234201193,0.801775765798807,"all"
"16658",7,2.12,"Exp1","mixed","IP",2.11600814589255,0.223380173896931,0.0779018490881389,0,0.199686321671624,0.800313678328376,"all"
"16659",7,2.13,"Exp1","mixed","IP",2.12396960602219,0.224178871690658,0.0769630802777139,0,0.201149279664463,0.798850720335537,"all"
"16660",7,2.14,"Exp1","mixed","IP",2.13190180280445,0.224975577412429,0.0825605107221285,0,0.202613063485439,0.797386936514561,"all"
"16661",7,2.15,"Exp1","mixed","IP",2.13980471355741,0.225770288899714,0.072847649741066,0,0.204077628797886,0.795922371202114,"all"
"16662",7,2.16,"Exp1","mixed","IP",2.14767831734784,0.226563004115176,0.0665810967981731,0,0.205542931622834,0.794457068377166,"all"
"16663",7,2.17,"Exp1","mixed","IP",2.15552259497341,0.227353721144711,0.062776777166594,0,0.207008928339021,0.792991071660979,"all"
"16664",7,2.18,"Exp1","mixed","IP",2.16333752894484,0.228142438195515,0.0544503326098747,0,0.208475575682869,0.791524424317131,"all"
"16665",7,2.19,"Exp1","mixed","IP",2.17112310346809,0.228929153594191,0.0582339136352604,0,0.209942830748396,0.790057169251604,"all"
"16666",7,2.2,"Exp1","mixed","IP",2.17887930442655,0.229713865784878,0.0535729574417705,0,0.211410650987084,0.788589349012916,"all"
"16667",7,2.21,"Exp1","mixed","IP",2.18660611936323,0.230496573327417,0.0445631083239623,0,0.212878994207687,0.787121005792313,"all"
"16668",7,2.22,"Exp1","mixed","IP",2.19430353746298,0.231277274895539,0.0481110689172597,0,0.214347818576003,0.785652181423997,"all"
"16669",7,2.23,"Exp1","mixed","IP",2.20197154953478,0.232055969275085,0.0433315211863309,0,0.215817082614581,0.784182917385419,"all"
"16670",7,2.24,"Exp1","mixed","IP",2.20961014799392,0.23283265536226,0.0402031940718342,0,0.217286745202393,0.782713254797607,"all"
"16671",7,2.25,"Exp1","mixed","IP",2.21721932684438,0.233607332161898,0.0371803877194311,0,0.218756765574448,0.781243234425552,"all"
"16672",7,2.26,"Exp1","mixed","IP",2.22479908166108,0.234379998785772,0.0305866232791098,0,0.220227103321373,0.779772896678627,"all"
"16673",7,2.27,"Exp1","mixed","IP",2.23234940957229,0.235150654450918,0.0226555175327029,0,0.221697718388933,0.778302281611067,"all"
"16674",7,2.28,"Exp1","mixed","IP",2.23987030924198,0.235919298477985,0.024274206019611,0,0.223168571077519,0.776831428922481,"all"
"16675",7,2.29,"Exp1","mixed","IP",2.24736178085228,0.236685930289618,0.0252017971691777,0,0.22463962204159,0.77536037795841,"all"
"16676",7,2.3,"Exp1","mixed","IP",2.25482382608594,0.237450549408856,0.0223842312377597,0,0.226110832289066,0.773889167710934,"all"
"16677",7,2.31,"Exp1","mixed","IP",2.26225644810883,0.23821315545756,0.0158159953551881,0,0.227582163180686,0.772417836819314,"all"
"16678",7,2.32,"Exp1","mixed","IP",2.26965965155257,0.23897374815486,0.015618266687669,0,0.229053576429322,0.770946423570678,"all"
"16679",7,2.33,"Exp1","mixed","IP",2.27703344249704,0.239732327315626,0.0056142356986305,0,0.230525034099258,0.769474965900742,"all"
"16680",7,2.34,"Exp1","mixed","IP",2.28437782845314,0.240488892848968,0.0108638215745117,0,0.23199649860542,0.76800350139458,"all"
"16681",7,2.35,"Exp1","mixed","IP",2.29169281834548,0.241243444756743,0.00358492244808425,0,0.233467932712579,0.766532067287421,"all"
"16682",7,2.36,"Exp1","mixed","IP",2.29897842249515,0.2419959831321,0.00236266528119265,0,0.234939299534507,0.765060700465493,"all"
