"","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"2794",5,0.4912,0.661926267110175,"Exp2","mixed","IP",0,0.543259584711249,0.0573263119229342,0.54277075451505,0.585139664417926,0,1.43799187892208,0.585139664417926,0.414860335582074,0.585139664417926,0.585139664417926,"part1"
"2795",5,1.954332247557,1.71787406815383,"Exp2","mixed","IP",0,1.84215171463404,0.248941602121391,1.8434441957118,0.201325728075394,0,-0.0210490670219295,0.201325728075394,0.798674271924606,0.201325728075394,0.201325728075394,"part1"
"2796",5,1.31,1.43795063740254,"Exp2","mixed","IP",0,1.3196686119515,0.178895348377244,1.31982548715855,0.10469584406112,0,0.301292570374656,0.10469584406112,0.89530415593888,0.10469584406112,0.10469584406112,"part1"
"2797",5,0.599959465297448,0.469979100513228,"Exp2","mixed","IP",0,0.58654672865797,0.0601374066606939,0.586629632717379,0.676382733701705,0,1.39509356685104,0.676382733701705,0.323617266298295,0.676382733701705,0.676382733701705,"part1"
"2798",5,0.4912,0.421904372409699,"Exp2","mixed","IP",0,0.543259584711249,0.0573263119229342,0.543041608366567,0.585139664417926,0,1.44255389514618,0.585139664417926,0.414860335582074,0.585139664417926,0.585139664417926,"part1"
"2799",5,0.599959465297448,0.477962890970957,"Exp2","mixed","IP",0,0.58654672865797,0.0601374066606939,0.586379945887832,0.676382733701705,0,1.39539358281551,0.676382733701705,0.323617266298295,0.676382733701705,0.676382733701705,"part1"
"2800",5,0.663061306494331,0.74184565480391,"Exp2","mixed","IP",0,0.603509781879106,0.0613793580127972,0.603650307341539,0.717918154960787,0,1.37227936316064,0.717918154960787,0.282081845039213,0.717918154960787,0.717918154960787,"part1"
"2801",5,0.599959465297448,0.645991652645534,"Exp2","mixed","IP",0,0.58654672865797,0.0601374066606939,0.586563224180019,0.676382733701705,0,1.39769640167511,0.676382733701705,0.323617266298295,0.676382733701705,0.676382733701705,"part1"
"2802",5,0.542862864224572,0.50192359247194,"Exp2","mixed","IP",0,0.566424674610475,0.0587823670382553,0.566779432015796,0.631919633865332,0,1.41770115130572,0.631919633865332,0.368080366134668,0.631919633865332,0.631919633865332,"part1"
"2803",5,0.542862864224572,0.685922734101041,"Exp2","mixed","IP",0,0.566424674610475,0.0587823670382553,0.566430979399746,0.631919633865332,0,1.41948727732451,0.631919633865332,0.368080366134668,0.631919633865332,0.631919633865332,"part1"
"2804",5,1.44778166151097,1.44592789677154,"Exp2","mixed","IP",0,1.44200338263018,0.194809211017892,1.44323776194176,0.12427125802673,0,0.215128666874682,0.12427125802673,0.87572874197327,0.12427125802673,0.12427125802673,"part1"
