"","curDur","wp","mu_r","sig_r","predY","NSub","exp","model","group","ver"
"6701",2.03,0.405368257736072,1.81313933969548,0.221076422324818,1.81254150253012,2,"Exp1","baseline","long","log"
"6702",2.04,0.405368257736072,1.81844803087441,0.221684684602683,1.81922082501748,2,"Exp1","baseline","long","log"
"6703",2.05,0.405368257736072,1.82374627065296,0.222291855160233,1.82438750596707,2,"Exp1","baseline","long","log"
"6704",2.06,0.405368257736072,1.82903413066576,0.222897940722967,1.82947139297649,2,"Exp1","baseline","long","log"
"6705",2.07,0.405368257736072,1.83431168171099,0.223502947946581,1.83411240100547,2,"Exp1","baseline","long","log"
"6706",2.08,0.405368257736072,1.83957899376415,0.224106883417979,1.84040961513279,2,"Exp1","baseline","long","log"
"6707",2.09,0.405368257736072,1.8448361359915,0.224709753656263,1.84403895899854,2,"Exp1","baseline","long","log"
"6708",2.1,0.405368257736072,1.85008317676331,0.225311565113707,1.85146280262625,2,"Exp1","baseline","long","log"
"6709",2.11,0.405368257736072,1.85532018366669,0.225912324176714,1.85584219992771,2,"Exp1","baseline","long","log"
"6710",2.12,0.405368257736072,1.86054722351828,0.226512037166755,1.86064905801735,2,"Exp1","baseline","long","log"
"6711",2.13,0.405368257736072,1.8657643623766,0.227110710341286,1.86644278859064,2,"Exp1","baseline","long","log"
"6712",2.14,0.405368257736072,1.87097166555419,0.227708349894656,1.87203438451054,2,"Exp1","baseline","long","log"
"6713",2.15,0.405368257736072,1.87616919762946,0.228304961958995,1.87410411308591,2,"Exp1","baseline","long","log"
"6714",2.16,0.405368257736072,1.88135702245833,0.228900552605083,1.88087267937876,2,"Exp1","baseline","long","log"
"6715",2.17,0.405368257736072,1.88653520318562,0.229495127843213,1.88665228590272,2,"Exp1","baseline","long","log"
"6716",2.18,0.405368257736072,1.89170380225621,0.230088693624026,1.89170366020811,2,"Exp1","baseline","long","log"
"6717",2.19,0.405368257736072,1.89686288142594,0.23068125583934,1.89696884753522,2,"Exp1","baseline","long","log"
"6718",2.2,0.405368257736072,1.90201250177239,0.231272820322963,1.90196782738983,2,"Exp1","baseline","long","log"
"6719",2.21,0.405368257736072,1.90715272370532,0.231863392851489,1.9082967943946,2,"Exp1","baseline","long","log"
"6720",2.22,0.405368257736072,1.91228360697698,0.232452979145083,1.9140822151354,2,"Exp1","baseline","long","log"
"6721",2.23,0.405368257736072,1.9174052106922,0.233041584868248,1.91864786234523,2,"Exp1","baseline","long","log"
"6722",2.24,0.405368257736072,1.92251759331827,0.233629215630586,1.92152322966695,2,"Exp1","baseline","long","log"
"6723",2.25,0.405368257736072,1.92762081269464,0.234215876987537,1.92949818535849,2,"Exp1","baseline","long","log"
"6724",2.26,0.405368257736072,1.93271492604241,0.234801574441111,1.93337102224991,2,"Exp1","baseline","long","log"
"6725",2.27,0.405368257736072,1.93779998997365,0.235386313440609,1.93891575294911,2,"Exp1","baseline","long","log"
"6726",2.28,0.405368257736072,1.94287606050055,0.235970099383322,1.94222847004574,2,"Exp1","baseline","long","log"
"6727",2.29,0.405368257736072,1.94794319304436,0.236552937615232,1.94657607400164,2,"Exp1","baseline","long","log"
"6728",2.3,0.405368257736072,1.95300144244419,0.237134833431687,1.95232367416758,2,"Exp1","baseline","long","log"
"6729",2.31,0.405368257736072,1.95805086296562,0.237715792078078,1.9591472317477,2,"Exp1","baseline","long","log"
"6730",2.32,0.405368257736072,1.96309150830917,0.238295818750489,1.96313126631632,2,"Exp1","baseline","long","log"
"6731",2.33,0.405368257736072,1.96812343161857,0.238874918596356,1.96773331055702,2,"Exp1","baseline","long","log"
"6732",2.34,0.405368257736072,1.97314668548892,0.239453096715093,1.97353794359476,2,"Exp1","baseline","long","log"
"6733",2.35,0.405368257736072,1.97816132197466,0.240030358158724,1.97655958975982,2,"Exp1","baseline","long","log"
"6734",2.36,0.405368257736072,1.98316739259741,0.2406067079325,1.98396362374677,2,"Exp1","baseline","long","log"
"6735",2.37,0.405368257736072,1.98816494835367,0.241182150995499,1.98835662866034,2,"Exp1","baseline","long","log"
"6736",2.38,0.405368257736072,1.99315403972233,0.241756692261228,1.99444277293929,2,"Exp1","baseline","long","log"
